,year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations
40,2000,Cecil B. DeMented,tt0173716,R,87,"Comedy, Crime, Thriller",6.2,57.0,An insane independent film director and his renegade group of teenage filmmakers kidnap an A-list Hollywood actress and force her to star in their underground film.,12597,1284646.0,149.0,91.0,-1.0,0,2
41,2000,Center Stage,tt0210616,PG-13,115,"Drama, Music, Romance",6.7,52.0,A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.,17508,17174870.0,212.0,70.0,2577.0,0,0
42,2000,Charlie's Angels,tt0160127,PG-13,98,Action|Adventure|Comedy,5.5,52.0,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",148354,125310000.0,643.0,179.0,2293.0,0,1
43,2000,Chicken Run,tt0120630,G,84,Animation|Adventure|Comedy,7.0,88.0,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",144475,106790000.0,361.0,186.0,2859.0,5,11
44,2000,Chocolat,tt0241303,PG-13,121,Drama|Romance,7.30000019,64.0,A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.,153911,71310000.0,500.0,152.0,2047.0,2,20
45,2000,Chopper,tt0221073,R,94,"Biography, Crime, Drama",7.2,65.0,"Chopper tells the intense story of Mark ""Chopper"" Read, a legendary criminal who wrote his autobiography while serving a jail sentence in prison. His book, ""From the Inside"", upon which the film is based, was a best-seller.",34530,234259.0,163.0,83.0,-1.0,12,14
46,2000,Chuck & Buck,tt0200530,R,96,"Comedy, Drama",6.6,76.0,An oddly naive man-child stalks his childhood best friend and tries to reconnect with their past.,5004,1050600.0,135.0,54.0,-1.0,6,12
47,2000,Citizen Toxie: The Toxic Avenger IV,tt0212879,R,109,"Action, Comedy, Fantasy, Horror, Sci-Fi",6.3,41.0,"The Toxic Avenger must defend his friends from his own evil alternate universe doppelgänger, The Noxious Offender.",4792,-1.0,61.0,45.0,-1.0,0,0
48,2000,Code Unknown,tt0216625,Not Rated,118,Drama,7.2,74.0,"A young man harasses a homeless woman, another man protests, the police arrest both and the woman has to leave the country. What were their various story-lines leading up to this event?",10513,95242.0,69.0,76.0,-1.0,0,2
49,2000,Come Undone,tt0242795,R,98,"Drama, Romance",6.7,68.0,"Mathieu, 18, spends the summer at his mother's summer house, in Brittany. On the beach, he meets Cédric, a boy his age. A love-story begins between the two boys.",4578,8867.0,56.0,28.0,-1.0,0,0
50,2000,Committed,tt0144142,R,98,"Comedy, Drama",5.2,44.0,A young woman goes in search of her midlife crisis suffering husband who left her.,3508,40361.0,39.0,42.0,-1.0,0,2
51,2000,Coyote Ugly,tt0200550,PG-13,100,Comedy|Drama|Music,5.5999999,27.0,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",92599,60790000.0,378.0,154.0,1673.0,0,0
52,2000,Crime + Punishment in Suburbia,tt0197384,R,100,"Drama, Thriller",5.9,32.0,"A darkly romantic story of murder and redemption, set against an eerily familiar American landscape.",2872,26394.0,52.0,28.0,-1.0,0,3
53,2000,"Crouching Tiger, Hidden Dragon",tt0190332,PG-13,120,Action|Adventure|Fantasy,7.900000099999999,93.0,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically skilled, adolescent nobleman's daughter, who is at a crossroads in her life.",221957,128070000.0,1645.0,288.0,2121.0,28,66
54,2000,Dancer in the Dark,tt0168629,R,140,Crime|Drama|Musical,8.0,61.0,"An east European girl goes to America with her young son, expecting it to be like a Hollywood film.",82205,4160000.0,693.0,125.0,3270.0,3,17
55,2000,Dancing at the Blue Iguana,tt0217355,R,123,"Drama, Mystery",5.8,41.0,A non-glamorous portrayal of the lives of people who make their living at a strip club.,3482,30181.0,62.0,39.0,-1.0,2,0
56,2000,Digimon: The Movie,tt0259974,PG,82,"Animation, Action, Adventure, Family, Sci-Fi",6.0,20.0,Three different stories involving digital creatures collide together.,6251,9628751.0,68.0,29.0,-1.0,0,0
57,2000,Dinner Rush,tt0229340,R,99,"Crime, Drama, Romance",7.3,79.0,Is it just another evening at the hugely popular Italian restaurant of proprietor and bookmaker Louis Cropa in New York? Anything but as tonight's guests include; a local police detective ...,4667,110000.0,73.0,41.0,-1.0,2,0
58,2000,Dinosaur,tt0130623,PG,82,"Animation, Adventure, Family, Thriller",6.5,56.0,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,47501,137748063.0,249.0,147.0,3664.0,4,21
59,2000,Divided We Fall,tt0234288,PG-13,117,Comedy|Drama|War,7.80000019,69.0,"In Nazi occupied Czechoslovakia, a childless couple agree to hide a Jewish friend at great personal risk of discovery and execution.",4281,1320000.0,65.0,48.0,,0,0
60,2000,Down to You,tt0186975,PG-13,91,"Comedy, Drama, Romance",5.0,13.0,A young man wins and loses the first serious love of his life. Al Connelly falls in love with the girl of his dreams. After the summer she breaks up with him. As he tries to recover Al goes to desperate measures.,13541,20035310.0,169.0,67.0,-1.0,0,3
61,2000,Dr. T & the Women,tt0205271,R,122,"Comedy, Drama, Romance",4.6,64.0,A wealthy gynecologist's ideal life is thrown into turmoil when the women closest to him begin to affect his life in unexpecting ways.,16883,13113041.0,261.0,101.0,-1.0,0,4
62,2000,Dracula 2000,tt0219653,R,99,"Action, Fantasy, Horror, Thriller",4.9,26.0,"A group of thieves breaks into a chamber expecting to find paintings, but instead they release the count himself, who travels to New Orleans to find his nemesis' daughter, Mary Van Helsing.",30285,33022767.0,361.0,125.0,4690.0,0,0
63,2000,Drowning Mona,tt0186045,PG-13,96,"Comedy, Crime, Mystery",5.6,25.0,"When a woman drives a car into the river to her death, everyone in town becomes a suspect.",12647,15427192.0,150.0,32.0,-1.0,0,0
64,2000,"Dude, Where's My Car?",tt0242423,PG-13,83,"Comedy, Mystery, Sci-Fi",5.5,30.0,Two potheads wake up after a night of partying and cannot remember where they parked their car.,128438,46729800.0,464.0,65.0,3706.0,0,5
65,2000,Duets,tt0134630,R,112,"Comedy, Drama, Music, Romance",6.0,40.0,"A professional karaoke hustler reconnects with his daughter and a bored suburban businessman turns outlaw karaoke singer, among other plotlines.",8816,4734235.0,128.0,64.0,-1.0,0,0
66,2000,Dungeons & Dragons,tt0190374,PG-13,107,"Action, Adventure, Fantasy",3.7,14.0,"Profion, a tyrant, attempts to overthrow a peaceful kingdom ruled by a tough empress.",30321,15220685.0,598.0,76.0,4961.0,0,11
