,year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations,best_picture,actor,actress,supporting_actor,supporting_actress,animated,cinematography,costume_design,directing,documentary,documentary_short,film_editing,foreign_language,makeup,original_score,original_song,production_design,short_animated,short_live,sound_editing,sound_mixing,visual_effects,writing_adapted,writing_original,oscar_best_picture,oscar_actor,oscar_actress,oscar_supporting_actor,oscar_supporting_actress,oscar_animated,oscar_cinematography,oscar_costume_design,oscar_directing,oscar_documentary,oscar_documentary_short,oscar_film_editing,oscar_foreign_language,oscar_makeup,oscar_original_score,oscar_original_song,oscar_production_design,oscar_short_animated,oscar_short_live,oscar_sound_editing,oscar_sound_mixing,oscar_visual_effects,oscar_writing_adapted,oscar_writing_original
20,2000,Cast Away,tt0162222,PG-13,143,Adventure|Drama|Romance,7.69999981,73.0,A FedEx executive must transform himself physically and emotionally to survive a crash landing on a deserted island.,409544,233630000.0,1060.0,222.0,690.0,6,15,0.18181818181818182,0.0,0.0,0.0,0.17142857142857143,0.15,0.022727272727272728,0.05,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
21,2000,Cecil B. DeMented,tt0173716,R,87,"Comedy, Crime, Thriller",6.2,57.0,An insane independent film director and his renegade group of teenage filmmakers kidnap an A-list Hollywood actress and force her to star in their underground film.,12594,1284646.0,149.0,91.0,-1.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2000,Center Stage,tt0210616,PG-13,115,"Drama, Music, Romance",6.7,52.0,A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.,17506,17174870.0,211.0,70.0,2577.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2000,Charlie's Angels,tt0160127,PG-13,98,Action|Adventure|Comedy,5.5,52.0,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",148354,125310000.0,643.0,179.0,2293.0,0,1,0.018181818181818184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2000,Chicken Run,tt0120630,G,84,Animation|Adventure|Comedy,7.0,88.0,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",144475,106790000.0,361.0,186.0,2859.0,5,11,0.10909090909090909,0.17142857142857143,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2000,Chocolat,tt0241303,PG-13,121,Drama|Romance,7.30000019,64.0,A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.,153911,71310000.0,500.0,152.0,2047.0,2,20,0.1318181818181818,0.08571428571428573,0.18095238095238095,0.0,0.0,0.0,0.05,0.0,0.04,0.0,0.0,0.05,0.06666666666666667,0.03333333333333333,0.05,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0
26,2000,Chopper,tt0221073,R,94,"Biography, Crime, Drama",7.2,65.0,"Chopper tells the intense story of Mark ""Chopper"" Read, a legendary criminal who wrote his autobiography while serving a jail sentence in prison. His book, ""From the Inside"", upon which the film is based, was a best-seller.",34523,234259.0,163.0,83.0,-1.0,12,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2000,Coyote Ugly,tt0200550,PG-13,100,Comedy|Drama|Music,5.5999999,27.0,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",92599,60790000.0,378.0,154.0,1673.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2000,"Crouching Tiger, Hidden Dragon",tt0190332,PG-13,120,Action|Adventure|Fantasy,7.900000099999999,93.0,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically skilled, adolescent nobleman's daughter, who is at a crossroads in her life.",221957,128070000.0,1645.0,288.0,2121.0,28,66,0.23636363636363641,0.05714285714285715,0.4653679653679654,0.18928571428571428,0.34285714285714286,0.275,0.12272727272727274,0.05,0.0,0.025,0.0,0.3,0.19999999999999998,0.03333333333333333,0.3,0.05,0.13333333333333333,0.0,0.0,0.0,0.2,0.07500000000000001,0.0,0.22222222222222224,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.0,0.0,0.0,0.2,1.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0
29,2000,Dancer in the Dark,tt0168629,R,140,Crime|Drama|Musical,8.0,61.0,"An east European girl goes to America with her young son, expecting it to be like a Hollywood film.",82205,4160000.0,693.0,125.0,3270.0,3,17,0.0,0.028571428571428574,0.07619047619047618,0.0,0.0,0.0,0.05,0.0,0.0,0.025,0.0,0.0,0.03333333333333333,0.0,0.1,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
